name,trace,lat,lng,country_id
Yamba,Yamba,-29.423,153.3533,36
Tumby Bay,Tumby Bay,-34.3829,136.0833,36
Forster-Tuncurry,Forster-Tuncurry,-32.1931,152.5266,36
Bundaberg,Bundaberg,-24.8791,152.3509,36
Yulara,Yulara,-25.2405,130.9889,36
Victor Harbor,Victor Harbor,-35.5596,138.6173,36
Richmond,Richmond,-20.7163,143.1333,36
Rockhampton,Rockhampton,-23.3639,150.52,36
Roebourne,Roebourne,-20.7829,117.1333,36
Roma,Roma,-26.5594,148.7907,36
Cloncurry,Cloncurry,-20.7,140.5,36
Cobram,Cobram,-35.9196,145.65,36
Coffs Harbour,Coffs Harbour,-30.3071,153.1123,36
Colac,Colac,-38.3395,143.58,36
Alice Springs,Alice Springs,-23.701,133.88,36
Ararat,Ararat,-37.2795,142.91,36
Carnarvon,Carnarvon,-24.8998,113.6501,36
Ceduna,Ceduna,-32.0991,133.6623,36
Charleville,Charleville,-26.4,146.25,36
Charters Towers,Charters Towers,-20.0809,146.2587,36
Kalbarri,Kalbarri,-27.6662,114.1667,36
Kununurra,Kununurra,-15.7666,128.7333,36
Dalby,Dalby,-27.1939,151.2657,36
Lithgow,Lithgow,-33.4961,150.1528,36
Manjimup,Manjimup,-34.2333,116.15,36
Maitland,Maitland,-32.721,151.555,36
Mandurah,Mandurah,-32.5235,115.7471,36
Karratha,Karratha,-20.7304,116.87,36
Gawler,Gawler,-34.6074,138.7264,36
Geelong,Geelong,-38.1675,144.3956,36
Georgetown,Georgetown,-18.3,143.5333,36
Geraldton,Geraldton,-28.7666,114.6,36
Maryborough,Maryborough,-37.0496,143.73,36
Maryborough,Maryborough,-25.5491,152.7209,36
McMinns Lagoon,McMinns Lagoon,-12.5329,131.05,36
Toowoomba,Toowoomba,-27.5645,151.9555,36
Onslow,Onslow,-21.6576,115.0963,36
Orange,Orange,-33.28,149.1,36
Stawell,Stawell,-37.0596,142.76,36
Echuca,Echuca,-36.1296,144.75,36
Eidsvold,Eidsvold,-25.3662,151.1333,36
Emerald,Emerald,-23.5122,148.1673,36
Tamworth,Tamworth,-31.1026,150.9171,36
Taree,Taree,-31.8976,152.4618,36
Ballarat,Ballarat,-37.5596,143.84,36
Ballina,Ballina,-28.8614,153.568,36
Barcaldine,Barcaldine,-23.5662,145.2834,36
Mount Barker,Mount Barker,-34.6328,117.6666,36
Mount Gambier,Mount Gambier,-37.8313,140.765,36
Mount Isa,Mount Isa,-20.7239,139.49,36
Mount Magnet,Mount Magnet,-28.0662,117.8167,36
Kempsey,Kempsey,-31.0874,152.822,36
Queanbeyan,Queanbeyan,-35.3546,149.2113,36
Queenstown,Queenstown,-42.0829,145.55,36
Quilpie,Quilpie,-26.6166,144.25,36
Ravensthorpe,Ravensthorpe,-33.5829,120.0333,36
Warrnambool,Warrnambool,-38.38,142.47,36
Warwick,Warwick,-28.2292,152.0203,36
Weipa,Weipa,-12.6666,141.8666,36
Ouyen,Ouyen,-35.0662,142.3167,36
Wollongong,Wollongong,-34.4154,150.89,36
Wonthaggi,Wonthaggi,-38.6095,145.59,36
Kiama,Kiama,-34.7096,150.84,36
Kimba,Kimba,-33.1496,136.4334,36
Kingaroy,Kingaroy,-26.539,151.8406,36
Pine Creek,Pine Creek,-13.8162,131.8167,36
Hobart,Hobart,-42.85,147.295,36
Darwin,Darwin,-12.4254,130.85,36
